full_name,title,company,bio,talk_title,photo_url,social_links,event,source_category
Karl Schranz,CEO,E&S Group,"Karl Schranz is the CEO and co-founder of E&S Group, a multidisciplinary advisory firm in Malta. Over more than 15 years, he has overseen complex cross-border projects, guided leading enterprises through regulatory challenges and positioned the firm at the forefront of innovation. Karl has also spearheaded the development of MAIA, a structured logic AI platform designed to transform business operations. His leadership combines strategic insight with a commitment to technology-driven solutions.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1622-1757667420.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Armin Aganovic,COO & CRO,Joelsson Media Group | Aboutslots.com & CasinoDaddy,"Armin Aganovic is overseeing operations, revenue, and strategic partnerships across Aboutslots.com and CasinoDaddy.com. With extensive experience in live streaming, SEO, and affiliate collaboration, he works closely with over 300 partners and manages more than 900 products. Armin specializes in optimizing player acquisition, boosting retention, and enhancing brand awareness in the competitive online gaming landscape.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1872-1759495821.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Heathcliff Farrugia,COO,SiGMA Group,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1461-1757947462.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Artem Bychkov,Deputy CSO,SOFTSWISS,"Artem Bychkov is a Deputy CSO at SOFTSWISS. He has led end-to-end product security programmes for several major financial and tech companies, focusing on every aspect of the process. With nearly 20 years of experience in the field, he has run a consulting practice and is skilled in both offensive and defensive cybersecurity. He is currently leading the product security programme at SOFTSWISS.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1832-1763461866.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dmytro Sorysh,"Head of AI products, AI Domain Product Officer",RedCore,"Dmytro Sorysh is the Head of Product, AI Solutions at RedCore, where he leads the development of automation platforms redefining player and customer engagement through voice and conversational AI. His career spans from enterprise environments like Shell to fast-growing startups, always focused on measurable business outcomes. At RedCore, Dmytro combines product vision with deep AI expertise to turn complex CRM and support operations into data-driven ecosystems. His goal is to make business communication fully autonomous and instantly impactful.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1940-1760104646.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Pierre Lindh,Co-Founder & Managing Director,NEXT.io,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1903-1759913649.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Danylo Diachenko,CBDO,Devils,"Danny Diachenko is CBDO at Devils, leading global partnerships and business development. Since joining in 2022, he has driven growth by building a network of 800+ partners and diversifying traffic sources. With strong affiliate marketing expertise, Danny focuses on optimising campaigns, expanding global reach and fostering industry innovation.",,https://tickets.sigma.world/img/speakers/tmp/speaker-952-1758180808.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Reuben Portanier,Partner,GTG,"Reuben Portanier is a seasoned C-Level professional with extensive regulatory and executive management experience across consulting, technology, fintech and gaming. At GTG, he leads Regulated Business Advisory, Business Consulting, Mergers & Acquisitions and Compliance Consulting, while also specialising in ESG and licensing support. He previously served as CEO of the Malta Gaming Authority and as a Board Trustee of the International Association of Gaming Regulators. Reuben has advised the Government of Malta on gaming policy and European regulatory affairs.",,https://tickets.sigma.world/img/speakers/tmp/speaker-768-1758121033.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dr. Sara Al Madani,The Emirati Entrepreneur,,"Sara Al Madani, widely known as Dr. Sara Al Madani, is a renowned entrepreneur, fashion designer, restaurateur and tech-preneur. She had the vision to launch her first business at the age of 15, demonstrating determination from an early age. Over the years, she has built a diverse portfolio across multiple industries, establishing herself as a pioneering businesswoman and influential voice in the entrepreneurial landscape. Sara Al Madani is the originator of the viral philosophy 'Job Your Love' – a call to build your life around what truly ignites you, transforming passion into purpose, work into freedom, and success into authentic impact.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1599-1755852969.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Tatyana Kaminskaya,Head of Game Aggregator,SOFTSWISS,"Tatyana Kaminskaya is the Head of Game Aggregator at SOFTSWISS, with nearly a decade of experience in iGaming. Since joining the company in 2016, she has advanced from Account Manager to leading one of SOFTSWISS’ flagship products. Under her leadership, the Game Aggregator has become an award-winning solution, recognised by SiGMA Europe Awards 2023, EGR B2B Awards and others. Tatyana’s expertise and strategic vision have positioned the Game Aggregator as one of the strongest products in the global iGaming market.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1818-1759141174.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Clemence Dujardin,Group CEO,MyAffiliates,"Clemence Dujardin is Group CEO at MyAffiliates where she is responsible for driving growth and strategic development. Her exceptional leadership and contributions have been recognised with prestigious awards, including Malta’s Best Gaming Woman Leader of the Year in 2018 and 2019 and SiGMA’s CEO Woman of the Year in 2021. Her influence in the industry was further solidified in 2023 when she was honoured by iGB, securing a spot among the Top 10 Most Influential Women in the iGaming industry.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1701-1757681535.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Miranda Guliashvili,Head of Regional Growth,SOFTSWISS,"Miranda Guliashvili is the Head of Regional Growth at SOFTSWISS, leading expansion across Latin America, Africa, and Asia. She has built international teams, driven market entry strategies, and led complex negotiations with operators and aggregators. Her focus is on forging new partnerships and delivering sustainable growth in both regulated and emerging markets.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1232-1759141336.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Sergey Kastukevich,CTO,SOFTSWISS,"Sergey Kastukevich is Deputy CTO at SOFTSWISS. He is a technology leader with a strong background in enterprise development across desktop, web, and mobile domains. With a result-oriented mindset and commitment to delivering high-quality management services, he focuses on creating value for customers, teams, and shareholders.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1817-1759141202.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Yancy Naughton,Founder,Has Traffic,,,https://tickets.sigma.world/img/speakers/tmp/speaker-982-1758291693.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Torben Friis,Managing Director,Match Liquidity DMCC,Torben Friis is the Managing Director in charge of global distribution at Match Liquidity DMCC. Match is a leading market maker for financial institutions and wholesale clients seeking access to institutional liquidity across capital markets. Torben is a Danish national having started his financial career at Saxo Bank moving on to Asset Management in Switzerland and setting up IG.com in Europe and leading the expansion of activtrades.com to mention a few. Areas of interest are digital assets including central bank digital currencies and what will be the next step for the financial industry as a whole.,,https://tickets.sigma.world/img/speakers/tmp/speaker-486-1758548396.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Michael Mallia,Head of the Malta Police Liaison Office,Europol in The Hague,"Michael Mallia heads the Malta Police Liaison Office at Europol in The Hague, serving as national lead for cross-border organised and financial crime investigations. He has led complex international cases into organised, financial and economic crime. At Europol, he has strengthened public-private partnerships and directed multi-agency operations countering online fraud, cyber-attacks and virtual currency misuse. His expertise is in intelligence-led disruption of crime spans to cybercrime prevention, AML enforcement and asset recovery.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1674-1757057778.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Pankhuri Bansal,Blockchain Expert,United Nations,"Pankhuri is an appointed AI and Blockchain expert with the United Nations and the International Organization for Standardization (ISO). She is the founder of Blockom Consulting and brings over 13 years of fintech experience in consulting, advising start-ups, and developing technological solutions on a global scale. Her expertise spans blockchain in supply chain, payment solutions, and the integration of AI with blockchain. She is ex-JP Morgan, Onyx, where she played an integral role in developing the bank’s crypto solutions. She has authored several research papers for the United Nations and contributed published standards with ISO on use cases and challenges within the blockchain, AI, and IoT industries. Her academic background includes a triple Master’s degree in Internet of Things & Entrepreneurship from City University, UK; a Postgraduate qualification in Artificial Intelligence & Machine Learning from the University of Texas, Austin; an MSc in Economics & Finance from the University of Warwick, UK; and a Bachelor’s degree in Economics & Finance from the London School of Economics, UK.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1774-1758553093.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Vladimir Malakchi,CEO & Managing Partner,Xanada Investments,"Vladimir Malakchi is a strategic investor and scaling specialist with 10+ years’ experience accelerating iGaming businesses to top-tier performance. Named Speaker of the Year, Influencer of the Year and a leading LinkedIn voice, he has guided clients to over 300 industry awards. A respected judge and keynote contributor at international gambling conferences, he founded Xanada Investments in 2024 to finance and unite visionary iGaming projects within a collaborative ecosystem.",,https://tickets.sigma.world/img/speakers/tmp/speaker-633-1760092222.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Meryem Habibi,CRO,Bitpace,"Meryem Habibi is the Chief Revenue Officer (CRO) at Bitpace, a leading global crypto payment gateway. With a distinguished career spanning sales, marketing and strategic partnerships across five diverse industries. Her professional journey includes pivotal leadership positions at industry giants such as Samsung and Diebold Nixdorf, where she spearheaded strategic development, expansion into emerging markets and revenue diversification. At Bitpace, Meryem is dedicated to advancing user-friendly, cutting-edge solutions in the fast-paced fintech sector.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1106-1757057286.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Gor Chatyan,Deputy CMO,SoftConstruct,"Gor Chatyan is a results-driven business development and marketing expert with over 10 years of experience in the Marketing, iGaming, and B2B sectors. Specializing in creating and executing strategic marketing plans, he has a proven track record of managing global product portfolios and driving significant business growth. His expertise spans market research, digital marketing, affiliate marketing, and customer engagement. Gor is highly adept at leveraging data analytics to inform strategy and optimize performance, ensuring alignment with business goals and KPIs. A visionary leader, Gor is committed to delivering innovative solutions that propel businesses forward in competitive markets.",,https://tickets.sigma.world/img/speakers/tmp/speaker-769-1759394186.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Brendon Spiteri,Head of Commercial,Routy,"An experienced digital marketer with seven years of expertise in the iGaming industry, specialising in affiliate marketing. Passionate about digital marketing and committed to self development, always seeking new opportunities to expand skills and stay ahead of industry trends. The approach is data driven and commercially focused, delivering measurable results while driving growth. Values collaboration with colleagues and external partners, having built a strong network within the affiliate and iGaming sectors.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1856-1759404058.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Nataliia Lavruk,Head of Affiliates,Melbet,"Nataliia Lavruk is Head of Affiliates at Melbet, leading affiliate traffic acquisition with a particular focus on the LATAM region. With over seven years in iGaming affiliate marketing, she has developed deep expertise across emerging markets including LATAM, SEA, MENA, and Africa, which are rapidly becoming global iGaming hubs. She has successfully managed market entry strategies from the ground up, combining her experience as both affiliate and brand manager to ensure programs are effectively represented at major online and offline iGaming events worldwide. Her local market insights allow her to identify key trends and create affiliate-friendly environments that drive sustainable growth. A skilled negotiator and dedicated professional, Nataliia has built a robust global network of partners, particularly within less regulated markets. Passionate about collaboration, she consistently supports affiliates with actionable market intelligence, relevant traffic sources, and tailored messaging to maximise player acquisition.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1777-1758615940.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Mariusz Gasiewski,CEE Mobile Gaming & Apps Lead,Google,"With Google since 2007, Mariusz Gasiewski is a leading expert in the gaming, iGaming, and app sectors across Central and Eastern Europe (CEE). He partners with the region's top companies, leveraging unique data to uncover critical trends in app categories and user behavior. Mariusz spearheads key initiatives that accelerate the growth of the mobile ecosystem in CEE and has guided many of Google's largest clients in developing and executing winning mobile strategies. A recognized thought leader, he is a frequent speaker at industry conferences and the founder of GameCamp (www.gamecamp.io), a premier European community for mobile gaming and app professionals. He also leads an angel investment community, bringing together specialists in gaming, apps, AI, and the Cloud from over 15 countries.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1265-1748331692.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Ana Schulz,COO,FinchPay,"Ana Schulz has been a crypto enthusiast for over seven years. In 2018, she played a pivotal role in developing an instant crypto exchange from the ground up as a Project Manager. For three years of her career, Ana managed an acquisition team at a well-known Сasino brand, overcoming challenges of traditional payment methods unavailability in various markets and regulatory areas. This background helps her to excel at FinchPay, a fintech project that develops cost-efficient, accessible and high-converting crypto payment solutions for high-risk businesses.",,https://tickets.sigma.world/img/speakers/tmp/speaker-48-1757595770.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Tim French,Commercial Manager,Greco,"Having worked across various facets of the B2B supply chain, Tim has been instrumental in fostering partnerships, streamlining operations and enhancing efficiencies that drive value for stakeholders in the gaming ecosystem. Currently, Tim is a key team member at Greco, the industry's first gameplay risk engine. Greco focuses on the detection and prevention of bonus abuse occurring in real time, ensuring a safer and fairer gaming environment.",,https://tickets.sigma.world/img/speakers/tmp/speaker-593-1759407080.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Leonid Pudov,CEO,mr.Booster,,,https://tickets.sigma.world/img/speakers/tmp/speaker-920-1765891885.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Dr Kyle Scerri,Senior Manager – Legal,CSB International,"Dr Kyle Scerri joined CSB Group in November 2020. His role initially focused on managing the Gaming and Fintech sectors within the organisation. In July 2024, he advanced to the position of Senior Manager within the Legal department. Kyle read law at the University of Malta whereby he was conferred a Bachelor of Laws degree and progressed to achieve a Doctor of Laws degree in 2017. He went on to further his studies at the University of London and has been conferred the degree of Master of Laws in Banking and Finance Law. Throughout his career, Kyle has assumed different positions at companies in the financial auditing and advisory space. Prior to joining CSB, he also formed part of a blockchain advisory firm and a locally based law firm. Throughout his career, his main fields of specialisation have always been financial services, capital markets and remote gambling, advising a range of enterprises and promoters in each relevant space along the way.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1796-1758715427.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Anna Badaeva,Group DPO & Security Expert,Tonybet,"Anna Badaeva joined Tonybet in June 2025 as a Group DPO & Security Expert, where she focuses on bolstering the company’s privacy and cybersecurity compliance framework in a highly regulated environment. In her dual role at Tonybet, she's responsible for guiding the strategic direction of data privacy and ensuring the operational security of player information. Anna’s expertise lies in developing and implementing robust cybersecurity frameworks that comply with global regulations such as GDPR and CCPA, while also enabling innovative business growth. She is passionate about integrating a privacy-by-design approach into all aspects of the business. Anna regularly shares insights on achieving the critical balance among security, compliance, and the player experience.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1798-1758719127.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
David Arutinyan,Head of Affiliates,1xSlots Partners,"David Arutinyan is an experienced Head of Affiliates specialising in the gambling and casino industry, currently leading the affiliate programme at 1xSlots Partners. With a strong background in digital marketing, partnership development and business strategy, he has contributed to the growth of iGaming brands and overseen international affiliate operations across Tier 2 and Tier 3 markets. Fluent in Armenian, Georgian, Russian and English, David excels in building long term relationships and driving innovation within the affiliate sector.",,https://tickets.sigma.world/img/speakers/tmp/speaker-855-1759406882.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Oliver De Bono,Co-Founder & CCO,Quantum Gaming,"With 20 years of experience in tech, gaming and team building, Oliver De Bono has led sportsbook operations, content strategy and complex platform development. He has led global commercial growth, raised funds and built recruitment and tech teams across startups and scale-ups. Deeply passionate about tech, gaming and crypto, Oliver now heads Quantum Gaming, an iGaming platform provider focused on scalable solutions for both emerging and established brands.",,https://tickets.sigma.world/img/speakers/tmp/speaker-177-1763370301.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Keith Zammit,CEO,Elevate AI,"Keith Zammit is a seasoned startup and AI strategist, spearheading innovation at the intersection of iGaming, artificial intelligence, and game development. Based in Gozo, he leads Elevate AI, the leading global AI and iGaming Accelerator Program.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1498-1758873444.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Prof. Massimo di Giannantonio,Healthcare Expert,,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1975-1760513340.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Christian Gruber,COO,Merkur Sportsbetting GmbH,"Christian Gruber is a graduate lawyer and Germanist with 15 years in marketing and communications for various Bundesliga clubs before taking over as Managing Director of Tipico, responsible for business in Germany, Austria, Belgium and Denmark. This was followed by positions as Managing Director and Country Manager at Sport1, Mr Green, William Hill and the Stadt Casino Baden Group. Since the beginning of 2025, he serves as Chief Operating Officer of the Merkur Group's German sports betting division.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1696-1757600740.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Josefin Uppeke,Senior Product Owner,Wicked Games,"Josefin Uppeke has been in game production since 2016 and has worked across multiple studios and countries, leading projects from concept to launch. She is now Senior Product Owner at Wicked Games, creating bold, edgy titles alongside modern twists on the classics. Naturally outgoing and collaborative, she brings teams together and keeps the creative flow moving in the right direction. What drives her is building experiences that connect with players, games that stand out, surprise people and have that spark of rebellion and purpose.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1933-1760080031.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Alessandro Ciacchini,Director,KEO WORLD,"Alessandro Ciacchini, born in Florence, is an international entrepreneur and strategic advisor with extensive experience in finance, technology, and global business development. After co-founding a commodities brokerage firm early in his career, he expanded into international trading, fashion retail partnerships, and investment ventures across Europe and beyond. Since 2006, he has focused on consulting and investment through the Trustfin Group and subsequent ventures, supporting companies worldwide in growth, fundraising, and strategic positioning. He has played a key role in fintech and technology projects, including Keo World and Mo Technologies, and served as Senior Advisor to the Board of Rama Vision Investments in Dubai. He is also a Board Member of Bloom, a Colombian company active in the equity crowdfunding sector, and Board Advisor of Mobile Streams PLC, a gaming and e-sports company listed on the AIM market in London. In addition to direct investment and advisory roles, Alessandro has contributed to educational and institutional initiatives, serving on the Advisory Board of Woodfield Christian University where he lectures on Fintech Management. He is also Vice President of the """"Alimentando un Niño"""" Foundation, dedicated to improving the nutrition of disadvantaged children. With decades of experience across finance, fintech, and international markets, Alessandro Ciacchini brings a global vision and hands-on expertise to businesses and institutions seeking sustainable growth and innovation.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1814-1759139443.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Emiliano Sanchez,CCO,Mancala Gaming,"Emiliano Sanchez is the CCO at Mancala Gaming, where he oversees the company’s global commercial strategy, partner relations, and cross-market expansion. With over 17 years of experience in the iGaming industry, covering both B2B and B2C verticals, Emiliano has been instrumental in shaping Mancala’s international growth and in developing a diverse and innovative games portfolio. Throughout his career, he has focused on building bridges between operators and providers, emphasising flexible integrations, scalable gamification tools, and content tailored to modern player behaviours.",,https://tickets.sigma.world/img/speakers/tmp/speaker-554-1760513848.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Vlad Bondarenko,Head of Product,ReferOn,"Vladyslav Bondarenko leads product development at ReferOn, a next-generation affiliate marketing platform. A major focus for him is automating affiliate program management to minimise manual work and unlock operational scaling. With a background in data-driven product design, Vladyslav has built systems where ""laziness"" is a feature, not a bug — every process is optimised for speed, simplicity and bulk actions without compromising security or transparency. He believes eliminating unnecessary effort is the fastest path to better results.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1871-1765371079.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Geronimo Cardia,Founder,Studio Cardia,"With over 25 years experience in the public gaming sector, Geronimo Cardia is a Cassation Lawyer, Chartered Accountant, Statutory Auditor and owner of Studio Cardia. He has held institutional roles in public and private entities and served as chairman, member of boards of auditors and supervisory bodies, as well as liquidator and curator. Formerly Adjunct Professor of International Tax Law at the G. D’Annunzio University of Chieti-Pescara, as well as speaker and lecturer at various conferences. He earned the Le Fonti Award in 2025, 2024 and 2019 for “Boutique of Excellence of the Year in the Gaming Sector”.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1967-1760454109.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Fiorentina D'Amore,CEO Malta & Senior Director of Business Operations (EU),Blockchain.com,"Fiorentina is a seasoned fintech leader with over 25 years of experience spanning Malta's largest banks, top fintech startups and global crypto businesses. She has held senior roles at industry leaders including eToro and Bitpanda, and today serves as CEO of Blockchain.com in Malta, leading their European operations. Fiorentina also chairs FIMA (the Financial Institutions Malta Association). Specialising in innovation, operational risk, compliance and strategy, she combines regulatory expertise with a drive for growth. She holds a Master's in Technology and Innovation Management.",,https://tickets.sigma.world/img/speakers/tmp/speaker-816-1759139697.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Fabrizio Bergamaschi,SVP Gaming Global Multichannel,Nuvei,"Fabrizio is the Senior Vice President Multichannel for Nuvei, a leading payment company in the iGaming industry. With over 20 years of experience in payments, Fabrizio is specialised in payment solutions for the gambling sector in Italy and international markets. His expertise includes navigating regulatory complexities, optimising payment processes, and ensuring seamless transactions in highly regulated environments.",,https://tickets.sigma.world/img/speakers/tmp/speaker-179-1758543824.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Adam Mateja,Co-Founder & CEO,Blurify,"Adam Mateja is CEO and Co-founder of Blurify, a company specialising in building secure and reliable tech products with a strong focus on the iGaming industry. With over a decade of experience in IT and a track record of delivering more than 100 successful projects, Adam has extensive expertise in strategic advisory roles maximising client success. His specialisation lies in providing tailored software solutions for casino operators, sportsbook providers and game developers, ensuring seamless user experiences and efficient business operations.",,https://tickets.sigma.world/img/speakers/tmp/speaker-923-1759141313.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Sofia Maria Cucciniello,Head of Legal & Compliance,Blockchain.com,,,https://tickets.sigma.world/img/speakers/tmp/speaker-1786-1758697360.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Domenico Vacchiano,Co-Founder & CTO,SlotMatic,"Domenico Vacchiano is a seasoned technology executive with 20+ years of experience in iGaming and fintech, specialising in large-scale software architecture and cloud innovation. Starting at IBM as a consultant for Citibank and JP Morgan, later Domenico held senior roles at leading gambling technology brands including Derivco/Microgaming, Betway, WeAreCasino and Gaming Innovation Group (GIG). Domenico is former Director of Engineering at Catena Media and Casumo, and a multi-certified AWS professional with expertise across cloud architecture, AI/ML, and serverless technologies.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1981-1760513675.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Francesco Maietich,Creative Lead,Cozmoplay,"Francesco Maietich is Creative Lead at Cozmo Play, where he drives the vision and development of innovative slot games. Beginning his career as a concept artist, he has carried a strong artistic foundation into the digital entertainment world. A lifelong enthusiast and researcher of video games, cinema and digital culture, Francesco draws on a broad range of influences to create immersive, story driven content. His approach emphasises atmosphere and originality, ensuring each project stands apart in both design and feel.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1827-1759150673.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
Ian Sherrington,CEO,Crownstar,"Ian Sherrington is a technology professional and writer with a strong background in software development, online gaming and emerging technologies. He is credited with creating the world's first online sportsbook, a landmark achievement that helped lay the foundation for one of the internet's most notable industries. Over the years, Ian has worked across diverse areas of digital innovation, from building web applications to exploring blockchain, artificial intelligence and cloud infrastructure. Based in the Netherlands, he is an everyday cyclist.",,https://tickets.sigma.world/img/speakers/tmp/speaker-1828-1759150858.png,,"SiGMA World 2026 (Rome, Fiera Roma, Nov 2-5 2026)",sigma.world/summits/world/speakers (Central Europe 2025 + SiGMA World Past speakers)
