Company,Website,CEO,CTO,Nationality,Description,Category,Amount_Raised,Round_Type,Date_Raised,Investors,Source
ProcIndex,https://procindex.com/,,,United States,AI Agents for Accounting Operations,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Iron Grid,https://getirongrid.com/,,,United States,AI Insurance for hardware.,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Finto,https://www.gofinto.com/,,,Germany,AI accounting for enterprise finance teams,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Motives,https://motives.ai/,,,United Kingdom,Consumer focus groups run by AI,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Relling,https://relling.co,,,United States,deploying the first billion robots for manufacturing,AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Char,https://char.com,,,United States,The AI notepad that knows and works for you,AI Productivity,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Manufact,https://manufact.com,,,United States,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Novaflow,https://www.novaflowapp.com/,,,United States,The AI data analyst for biology labs,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Phases,https://phases.ai,,,United States,Automated clinical trial oversight and execution,AI Healthcare,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Physical Turing,https://physicalturing.ai/,,,United States,Real world testing of humanoid policies and robots,AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Mimos,https://www.trymimos.com/,,,United States,The growth OS for plaintiff-side law firms,AI Legal,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Nozomio,https://www.nozomio.com/,,,United States,product lab solving context in ai,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
VibeFlow,https://vibeflow.ai/,,,United States,"Lovable, n8n and a database all in one platform ",AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Comena,https://comena.ai,,,United States,AI agents for distributors and manufacturers to automate order entry.,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Normal,https://www.normalfactory.com/,,,United States,Testing and certifying the hardware of the future,AI Hardware,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
GhostEye,https://ghosteye.ai,,,United States,AI-Powered Social Engineering Defense,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Channel3,https://trychannel3.com,,,United States,Database of every product on the internet,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Epicenter,https://epicenter.so,,,United States,"ChatGPT's memory feature in an open, portable format",AI Productivity,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Embedder,https://www.embedder.com,,,United States,AI Agents for Firmware,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
b12 Labs,https://b12-labs.com/,,,United States,Chemical Copilot for Pharma and Biotech,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Fulcrum,https://fulcrumresearch.ai,,,United States,The agentic debugger for AI systems,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Trace,https://www.trace.so/,,,United Kingdom,Context-aware orchestration between humans and AI.,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Interface,https://www.theinterface.com,,,United States,Building onestop.sh,AI Productivity,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Doe,https://doe.so/,,,United States,"The boring stuff, handled. Everything else, supercharged.",Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Parachute,https://parachute-ai.com,,,United States,Infrastructure for hospitals to monitor and deploy clinical AI ,AI Healthcare,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Riverbank,https://www.riverbank.sh/,,,United States,AI-native Red Teaming and Offensive Security ,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Stellon Labs,https://stellonlabs.com/,,,United States,Building tiny frontier AI models that run on edge devices,AI Hardware,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Panoptive,https://www.panoptive.com,,,United States,The continuous oversight engine for clinical trials,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Wedge,https://www.wedge.health,,,United States,Palantir for Healthcare AI Agents,AI Healthcare,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
CareSwift,https://www.careswift.com/,,,United States,AI scribe for Ambulance Reports,AI Healthcare,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Kestroll,,,,United States,,AI Adjacent - Other,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Tesora,https://tesora.ai,,,United States,Frontier AI for Actuaries,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
DeepAware AI,https://roboticscenter.ai/,,,United States,"Robots, parts & RL environments - delivered in 72 hrs or pickup in SF.",AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Stockline,https://stockline.ai,,,United States,AI-native ERP for food wholesalers,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Magnitude,https://magnitude.dev,,,United States,The best way to code with open models,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Proliferate,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,,,United States,Manage a team of agents from your desktop,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Frizzle,https://www.frizzle.com,,,United States,AI Grading for Teachers,AI Education,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Async,https://withasync.com,,,United States,AI Agents for Service Businesses,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
OnDeck AI,https://www.ondeckai.com,,,Canada,"Analyze any footage, without training a model",AI Video & Media,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Alter,https://alterauth.com,,,United States,Secure access control and authorization platform for agent workflows,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Imprezia,https://imprezia.ai,,,United States,The World's First AI Ad Network.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Lilac,https://getlilac.com,,,United States,We automatically monetize idle GPUs,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Cyberdesk,https://www.cyberdesk.io,,,United States,Self learning computer use agent for developers,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Panels,https://www.usepanels.com/,,,United States,Audio Data for AI Labs,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Wafer,https://www.wafer.ai,,,United States,AI that makes AI fast,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Orange Slice,https://orangeslice.ai,,,United States,Agentic sales enrichment spreadsheet,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Monarcha,https://monarcha.ai,,,United States,Turn maps into data,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Lotas,https://www.lotas.ai,,,United States,AI for Data Science and 3D,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Design Arena,https://www.designarena.ai/,,,United States,World's largest crowdsourced benchmark for AI-generated design,AI Video & Media,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
EffiGov,https://effigov.com,,,United States,The AI OS for Cities,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Lark,https://getlark.ai/,,,United States,The E2E testing layer for AI-driven development,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Topological,https://www.topological.com,,,United States,Physics-based foundation models for CAD optimization.,AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Datafruit,https://datafruit.ai/,,,United States,The AI workspace for software implementations,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
ContextFort,https://contextfort.ai/,,,United States,Visibility and Controls for Browser Agents,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
LLM Stats,https://llm-stats.com,,,United States,Independent AI evaluations lab,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Verne Robotics,https://vernerobotics.com/,,,United States,AI models that teach robots new skills in hours,AI Robotics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Playgent,https://useplaygent.com,,,United States,Sandboxes for AI agents,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Liva AI,https://www.theliva.ai,,,United States,Audio & Video Data,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Golpo,https://video.golpoai.com/,,,United States,Create Whiteboard Explainer Videos with AI from a Prompt or Document,AI Video & Media,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Lanesurf,https://www.lanesurf.com/,,,United States,Book any load in 10 minutes,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Astor,https://astor.app/,,,United States,AI advisor for retail investors,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
truthsystems,https://www.truthsystems.ai,,,United States,Automatically blocking risky behavior with real-time governance agents,AI Security,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
AgentMail,https://agentmail.to,,,United States,Email Inboxes for AI Agents,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
TraceRoot.AI,https://traceroot.ai,,,United States,Open source self-healing layer for AI agents,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
MangoDesk,https://www.mangodesk.com/,,,United States,Long-horizon RL environments,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
The Prompting Company,https://www.promptingcompany.com,,,United States,We help products get discovered & used by AI agents.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Acrely,https://www.acrely.ai,,,United States,Enterprise Voice Agents,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Dedalus Labs,https://www.dedaluslabs.ai/,,,United States,Compute substrate for AI agents,AI Developer Tools,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Closera,https://closera.com,,,United States,AI Shopping Agent for Your Ecommerce Store,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Meteor,https://browse.dev,,,United States,An AI-Native Browser,AI Agents,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Adaptional,https://www.adaptional.com/,,,United States,AI-powered insurance claims review,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Pingo AI,https://pingo.ai,,,United States,AI companion that helps you learn languages,AI Education,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Preseen,https://preseen.com,,,United States,The AI forecasting company for global macro events. ,AI Data & Analytics,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Cactus,https://www.cactuscompute.com/,,,United States,Low-latency AI engine for mobile devices & wearables,AI Hardware,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Serafis,https://serafis.ai,,,United States,Narrative intelligence for investors,AI Finance,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Wayline,https://wayline.com,,,United States,AI voice for property managers,AI Voice & Audio,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Ambral,https://www.ambral.com/,,,United States,AI for account management and customer success,AI Enterprise Software,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Monte,https://trymonte.ai,,,United States,Continual Learning for Agents,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Stormy,https://stormy.ai,,,United States,Al platform that makes social marketing as easy as running a Google…,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Metis,https://withmetis.ai,,,United States,Infrastructure to build reliable agents,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Nexa Labs,https://nexa.farm/,,,United States,Implantable microchips and AI for cattle monitoring,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Nuntius,https://www.nuntius.ai,,,United States,Making Models Follow Rules.,AI Infrastructure,YC Investment (~$500K),Seed (YC S25),2025-09,Y Combinator,YC API
Mentra,https://mentra.glass,,,United States,Building the open source smart glasses operating system.,AI Hardware,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Vantel,https://vantel.com/,,,United States,AI Platform for Commercial Insurance Brokerages,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
assistant-ui,https://assistant-ui.com,,,United States,Open Source React.js Library for AI Chat,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Axal,https://www.axal.ai/,,,United States,AI Workers for Manufacturing and Distribution ,AI Robotics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Dex,https://joindex.com,,,United States,The AI Coworker in Chrome,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
TrainLoop,http://trainloop.ai,,,United States,Reasoning Fine-Tuning,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mercura,https://www.mercura.ai,,,United States,AI Quote and Order Automation for Distributors & Manufacturers,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Browser Use,https://browser-use.com,,,United States,Leading open-source web agent project with 50k stars in 3 months,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
TamLabs,https://tamlabs.ai,,,United States,Agent Teams for Professionals,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Ergo,https://joinergo.com,,,United States,AI agents and unified data layer for revenue teams,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
CopyCat,https://runcopycat.com,,,United States,AI agents built for insurance. ,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Butter,https://butter.dev,,,United States,Embedded Sandboxes for Agents,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Bluebook,https://getbluebook.com,,,United States,AI for accounting,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Roark,https://roark.ai,,,United States,"Test, monitor, and improve your voice agents",AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Rebolt,https://rebolt.ai,,,United States,AI-Powered Company OS,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Spott,https://spott.io,,,United States,AI-native ATS/CRM for recruiting firms,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Woz,https://www.wozcode.com/,,,United States,Claude Code plugin that reduces token consumption and cost by 50%,AI Code Generation,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Proception Inc,https://proception.ai/,,,United States,Making humanoids dexterous enough to thread a needle,AI Robotics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Corsair,https://www.corsair.dev,,,United States,Integration Layer for AI Agents,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Wildcard,https://wild-card.ai,,,United States,AEO/GEO for E-Commerce and Retail,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Permitify,https://permitify.com,,,United States,AI co-pilot for building plan review and building code compliance,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Optifye.ai,https://www.optifye.ai,,,United States,AI performance monitoring for factory workers,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Pinch,https://startpinch.com,,,United States,Real-time AI Voice Translation for Developers,AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Forge Automation,https://www.forgeautomation.ca,,,Canada,Software Enabled CNC Parts Supplier,AI Robotics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mastra,https://mastra.ai,,,United States,"The Javascript framework for building AI agents, from the Gatsby devs",AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
AfterQuery,https://afterquery.com,,,United States,Applied research lab curating data solutions for foundation model…,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
FuseAI,https://tryfuse.ai/,,,United States,#1 AI Platform for Outbound Sales,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Miyagi Labs,https://miyagilabs.ai,,,United States,AI tutors for exam prep,AI Education,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Artificial Societies,https://societies.io,,,United Kingdom,We build networks of AI personas that simulate stakeholder opinions,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
OpenIntake,https://www.openintake.ai/,,,United States,The AI Front Door For Law Firms,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Peppr AI,https://www.usepeppr.ai/,,,United States,In-call AI teleprompter that helps reps close enterprise deals,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Sennu AI,https://www.sennu.ai,,,United States,We turn traditional companies into AI companies,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mesh,http://www.usemesh.com,,,United States,Eliminating accrual spreadsheets for faster month-end,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Outlit,https://outlit.ai/,,,United States,Customer Context for Agents,AI Infrastructure,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Tire Swing,https://gettireswing.com,,,United States,AI Powered Affordable Housing Eligibility,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Harper,https://www.harperinsure.com/,,,United States,AI-native commercial insurance brokerage,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Calltree,https://calltree.ai,,,United States,Enterprise-grade AI support reps for call centers,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Nitrode,https://www.nitrode.com,,,United States,Data for reasoning agents in dynamic environments,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Exla,https://exla.ai/,,,United States,An SDK to run transformer models anywhere,AI Hardware,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Confident AI,https://confident-ai.com,,,United States,The LLM Eval and Observability Platform for AI Quality,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Riviera,https://www.withriviera.com,,,United States,AI Employees for Hotels,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Agentin AI,https://www.agentin.ai,,,United States,AI Agents that automate enterprise software processes,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
General Trajectory,https://www.generaltrajectory.com/,,,United States,AI for the physical world,AI Robotics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Solidroad,https://solidroad.com,,,United States,"AI agents for CX teams, starting with training and QA.",AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Trata,https://www.trytrata.com/,,,United States,AI-powered research desk for hedge funds,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Candor,https://candor.security/,,,United States,Insider Threat for the Modern Enterprise,AI Security,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Lucidic AI,https://lucidic.ai,,,United States,Reimagining how Machines Learn ,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mundo AI,https://mundoai.world,,,United States,High Quality Multilingual Training Data for AI Models,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
G LNK,https://glnkco.com/,,,United States,Simplifying Collaboration for Healthcare Organizations & Professionals,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Pluto,https://www.pluto.trade,,,United States,Regulated derivatives exchange,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
AthenaHQ,https://www.athenahq.ai,,,United States,"Be the Answer in AI Search - AI SEO across SEO, GEO & AEO",AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Lopus,https://lopus.ai,,,United States,Growth Operations Data Platform,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Cenote,https://www.joincenote.com/,,,United States,AI agents that convert and retain patients for digital clinics,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Harbera,https://harbera.com/,,,United States,AI Healthcare Provider Credentialing Software,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Stillwind,https://stillwind.ai,,,Europe,Autonomous Electrical Engineering,AI Hardware,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Pickle,https://www.pickle.com,,,United States,Where your life context becomes understanding.,AI Hardware,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Lucid,https://lucid.ai,,,United States,interactive video models,AI Video & Media,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Macadamia,https://macadamialabs.com,,,United States,AI Agents for Complex Engineering Projects,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Asteroid,https://asteroid.ai,,,United States,AI Browser Workforce for Operations Teams,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Gale,https://galevisa.com,,,United States,Fast and Data-Driven Immigration Platform,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Olive,https://fromolive.com,,,United States,"Curated stories, every day",AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
hud,https://www.hud.ai,,,United States,Platform for building RL environments and evals ,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
finbar,https://finbar.com,,,United Kingdom,The AI investment analyst,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Cuckoo Labs,https://www.cuckoo.so/,,,United States,Real-time AI translator for global sales and marketing,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mecha Health,https://www.mecha-health.ai/,,,United States,Foundation models to automate x-ray analysis for radiologists,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
10x,https://www.10xdental.com/,,,United States,AI Sales Teams for Dental Practices,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Osmosis,https://osmosis.ai/,,,United States,Reinforcement Learning (RL) for AI Agents,AI Infrastructure,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Swerve,https://www.getswerve.com/,,,United States,Chat with AI Characters,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Mosaic,https://mosaic.so,,,United States,Agentic video editing,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Cifrato,https://cifrato.ai,,,Latin America,AI Accountant for Accounting Firms,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Oki,https://okihome.ai,,,United States,The digital home for your personal memories that grows with you,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Bezel,https://www.trybezel.com/,,,United States,Digital AI humans that model clothes for e-commerce brands.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Cardamon,https://cardamon.ai/,,,United Kingdom,AI compliance co-pilot for regulated financial businesses,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Amby Health,https://tryamby.com,,,United States,AI Copilot for Ambulance Agencies (EMS),AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Trim,https://trimresearch.com,,,United States,A foundation model for physics.,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Tergle,https://tergle.com,,,United States,AI Agents for Audit,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Rally,https://www.getrally.com/,,,Germany,Financial OS for Modern Fleets,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Adam,https://adam.new/,,,United States,AI Powered CAD,AI Hardware,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
careCycle,https://www.careCycle.ai,,,United States,Voice AI teams for medicare agencies.,AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Paragon,https://www.runparagon.com,,,United States,The AI Growth Engine for Industrials,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
SalesPatriot,https://www.salespatriot.com/,,,United States,AI powered operating system for distributors and OEMs,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Maive,https://maive.ai,,,United States,AI for Home Services,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Weave,https://workweave.dev,,,United States,AI to understand engineering work,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Caseflood.ai,https://caseflood.ai,,,United States,How elite law firms do intake,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Tejas AI,https://www.trytejas.ai/,,,United States,Risk Decisioning Platform for Banks,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Trava,https://www.usetrava.com/,,,United States,AI agents for global trade compliance,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
a0.dev,https://a0.dev,,,United States,We make mobile apps using AI.,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Altrina,https://altrina.com,,,United States,The SOP Automation Platform,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
A1Zap by A1Base,https://www.a1zap.com/,,,United States,The social network layer for AI apps,AI Infrastructure,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Verbiflow,https://verbiflow.com,,,United States,Outbound Sequencing Infrastructure for Startups,AI Sales & Marketing,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
