icp_score,company,usp,icp_reason
42,CAMBRIAN,Cambrian builds modular blockchain infrastructure and tooling aimed at accelerating protocol development and interoperability.,Infra/tooling layer; stakes depend on what runs on top
42,DUNE,"On-chain analytics platform that lets analysts and teams query, visualize, and share blockchain data through community-built dashboards.","Analytics infra; downstream decisions carry stakes, not platform itself"
42,MASK NETWORK,"Mask Network is a browser extension that layers encrypted messaging, token payments, and DeFi access directly into mainstream social platforms like Twitter.",Social/privacy layer; some financial features but primarily consumer UX
42,OPENFORT,"Provides blockchain account abstraction infrastructure for Web3 games, enabling seamless embedded wallets and transaction management so developers can onboard players without crypto friction.",Gaming infra; funds at stake but consumer-grade reversibility
42,QUARKCHAIN,"QuarkChain is a sharded, high-throughput blockchain platform designed for scalable decentralized applications with heterogeneous sharding architecture.",General-purpose L1; moderate stakes but largely upgradeable infra
42,NEVERLOCAL,A ZK research organization advancing the theoretical and applied foundations of zero-knowledge proof systems.,Pure ZK research without directly deployed production systems
38,ALEPH CLOUD,Aleph Cloud is a decentralized cloud computing and storage network providing censorship-resistant infrastructure for Web3 applications.,"Infra layer; mistakes recoverable, no financial lock-in"
38,BLOCKSIGHT.DEV & AMGI STUDIOS,"Blocksight.dev provides on-chain analytics tooling under AMGI Studios, enabling teams to monitor and interpret blockchain activity.",Analytics tooling; limited deployed financial system exposure
38,ENTERPRISE ETHEREUM ALLIANCE,Industry standards body connecting Fortune 500 enterprises with Ethereum ecosystem to develop interoperability specs and compliance frameworks for enterprise blockchain adoption.,Standards org; influence is high but no deployed financial systems
38,SAGA,"Saga is a blockchain platform that provisions dedicated app-chains (Chainlets) for gaming and consumer applications, reducing gas costs and latency for high-throughput use cases.",Gaming infra; mistakes are recoverable and financial stakes per error are low
38,エーアイ.コム,A Japan-based AI and crypto convergence project building AI-native blockchain applications for the Asian market.,"Early-stage, market unclear, likely MVP-stage without locked capital"
35,ELATA BIOSCIENCES,Decentralized biotech organization using blockchain-based coordination to fund and govern early-stage neuroscience and drug discovery research.,"Research-stage org; deployed capital limited, mostly reversible"
35,KAITO AI,Kaito AI aggregates and ranks crypto information and social signals using AI to surface actionable intelligence for traders and protocols.,"Intelligence/analytics tool; mistakes are advisory, not capital-destructive"
35,PROTOCOL GUILD,"Protocol Guild is a collective funding mechanism that routes onchain donations directly to active Ethereum core protocol contributors, sustaining public-goods development.","Funding/coordination org; core output is research and dev, not deployed financial systems"
30,GEO,"Builds a decentralized, open knowledge graph protocol that incentivizes structured data contributions on-chain, aiming to replace centralized information silos.","Data/community layer; mistakes are editable, low financial stakes"
30,NOMAD CAPITAL; BUIDLPAD,Crypto-native venture capital and launchpad accelerating early-stage blockchain protocols with capital and go-to-market support.,"Capital allocator, not a builder; mistakes are financial not technical"
30,PROTOCOL LABS FILECOIN IMPACT FUND (PLFIF),Deploys grants and investments to accelerate decentralized storage and Web3 open-source ecosystems built on Filecoin and IPFS.,Grant/investment org; no deployed financial systems at stake
30,SECUREUM,Secureum is a smart contract security education platform that trains auditors and developers to identify vulnerabilities in Ethereum code through bootcamps and competitive challenges.,"Education org; no deployed financial systems, output is knowledge not product"
30,PLACEHOLDER NETWORK,Placeholder is a venture capital firm investing in decentralized networks and open cryptographic systems at the earliest stages.,VC/investor network; no deployed system with financial finality risk
28,MAASVENTURES,Maas Ventures is a crypto-focused venture capital firm investing in early-stage Web3 infrastructure and protocol teams.,VC firm; deploys capital but not building systems where bugs cause loss
28,IMPERIAL COLLEGE LONDON / FLASHBOTS,Imperial's crypto research group produces peer-reviewed blockchain research informing protocol design and regulatory policy at a global academic level.,Pure academic research; no deployed capital at stake
22,COINFELLO,"Coinfello offers crypto portfolio tracking and wallet management tools for retail investors, simplifying multi-asset monitoring.",Retail-facing portfolio tracker; low financial or legal stakes
22,EUROPEAN CRYPTO INITIATIVE,"Advocates for crypto-friendly regulation in Europe, shaping policy frameworks that determine legal operating conditions for the entire industry.","Policy/advocacy org, no deployed financial systems"
22,OAK RESEARCH,"Independent crypto research organization producing in-depth analysis on blockchain protocols, tokenomics, and market structure to inform investor and builder decision-making.","Pure research, no deployed systems with locked funds"
22,SWARMS,Swarms is an AI agent orchestration framework that enables developers to build and deploy autonomous multi-agent pipelines for complex task automation.,Developer tooling; no persistent financial or legal stakes
22,MAX PLANCK INSTITUTE FOR SOFTWARE SYSTEMS (MPI-SWS),MPI-SWS conducts foundational distributed systems and blockchain security research that underpins the theoretical correctness of production protocols.,Academic research org; outputs are papers not deployed systems
21,FLIGHT3,Flight3 is an early-stage web3 gaming startup building blockchain-integrated gaming experiences where in-game asset ownership and economy design are encoded on-chain.,MVP-stage gaming startup; primarily building to raise
20,LEADERSHIP COACHING | ZUZA ZUBER,Executive and leadership coaching practice supporting Web3 founders and teams in navigating organizational and decision-making challenges.,Coaching service; no deployed systems or financial stakes
20,ANGEL INVESTOR & ADVISOR AT LARGE,Individual angel investor and advisor providing strategic guidance to early-stage blockchain and Web3 startups.,Advisor/investor; no deployed system risk
18,ADAN,"ADAN is the French industry association representing crypto and digital asset businesses, advocating for favorable regulation across Europe.",Lobby/advocacy org; no deployed financial systems
18,DAO LEADERSHIP,Governance and leadership consultancy helping DAOs build effective decision-making structures and contributor coordination frameworks.,Community/governance advisory; low financial stakes
18,POAP,"POAP issues NFT badges that verifiably record attendance at real-world and virtual events, creating a portable on-chain record of lived experiences.","Community/engagement tool; low financial stakes, no locked funds"
18,THEDAO SECURITY FUND & GIVETH,"TheDAO Security Fund and Giveth are Ethereum-aligned nonprofits focused on crypto ecosystem grants, public goods funding, and community-driven charitable giving rails.",Grants and community org; mistakes are low-stakes and reversible
15,WASDER,"Wasder is a Web3 gaming social platform and community hub that connects gamers, enables NFT-based rewards, and provides discovery tools for blockchain games.",Gaming community app; low financial stakes and fully reversible
15,YAP GLOBAL,A crypto-native PR and communications agency helping blockchain projects build narrative and media presence at scale.,"Marketing/PR firm, mistakes are reputational not financial"
15,INDEPENDENT RESEARCHER,"Independent academic or practitioner contributing original research to blockchain, cryptography, or distributed systems fields.",Individual researcher; no deployed systems or financial stakes
14,DUCT TAPE / ETHPRAGUE,ETHPrague is a developer-focused Ethereum hackathon and community event in Prague that accelerates ecosystem growth through in-person collaboration and prototype building.,Community/events org; no financial systems at stake
14,WEB3 COMMS,Communications and marketing consultancy specialising in Web3 and blockchain brand strategy for protocols and startups.,Comms agency; no financial or technical deployment risk
12,WACHSMAN,"Wachsman is a leading crypto and Web3 public relations and communications agency serving blockchain companies, exchanges, and protocols with strategic media and comms.",PR/comms firm; no persistent financial or technical risk
12,ZUITZERLAND,A crypto community event and gathering series fostering collaboration and networking among Web3 builders and researchers.,"Community org, no financial or legal cost to mistakes"
12,ETHBELGIUM,ETHBelgium is a Belgian Ethereum community and hackathon organization connecting local builders to the broader Web3 ecosystem.,Community/events org; no financial systems at stake
12,WEB3 AUTHOR,"Independent author and researcher producing educational content on blockchain, crypto, and Web3 for broad audiences.",Content creator; no deployed systems or financial stakes
11,"SPAGHETTETH, HYPE",SpaghettiETH is an Italian Ethereum community and events organization that promotes Web3 education and ecosystem engagement across Italy.,Community/PR org; no financial or legal stakes
